PRODUCTOR,DISTRITO,UBICACIÓN,Ed,AC,LC,Aca,Lca,Ao,Lo,Tco,Lcu,LCTc,Pe,Acr,AGrA,AGrP,AGr,LGr,PTo,PAb,Ape,AT,PCñ,LCñ,Lp,...27,...28,...29,Lit,(ICE) = (Ancho de la cabeza / largo de la cabeza) x 100.,(IAN) = Perímetro torácico 2 / (altura a la cruz x 100).,(IPE) = (Ancho de grupa /longitud grupa) x 100.,(IDT)= (Perímetro de la caña / perímetro torácico) x 100,(IDC) = (Perímetro de la caña /ancho de tórax) x100.,(IPT) = (Ancho de grupa /alzada a la cruz) x 100.,(IPL) = (Longitud de la grupa /alzada a la cruz) x 100.,(IER)= (Perímetro de la caña/ alzada a la cruz) x 100.,(ICC)= (Perímetro de la caña/ Peso vivo) x 100.
1,COTARUSE,"14°33'51""S 73°25'50""W",4,16,40,14,30,10,13,23,57,70,168,103,110,104,35,29,150,146,27,27,14,19,5,CPMC,negro,oscuro,0,40.00,145.63,120.69,9.33,51.85,33.98,28.16,13.59,8.33
2,COTARUSE,"14°33'51""S 73°25'50""W",4,16,39,14,29,9,12,23,47,61,191,95,99,96,36,35,129,127,17,25,13,18,3,CPMC,ambarino,oscuro,0,41.03,135.79,102.86,10.08,52.00,37.89,36.84,13.68,6.81
3,COTARUSE,"14°33'51""S 73°25'50""W",2,16,30,12,26,11,15,19,51,61,168,97,104,97,34,31,132,134,18,27,14,18,3,CPMC,negro,oscuro,0,53.33,136.08,109.68,10.61,51.85,35.05,31.96,14.43,8.33
4,COTARUSE,"14°33'51""S 73°25'50""W",2,16,35,11,25,12,16,20,50,63,190,106,107,98,35,31,137,138,19,28,14,18,4,CPMC,negro,oscuro,0,45.71,129.25,112.90,10.22,50.00,33.02,29.25,13.21,7.37
5,COTARUSE,"14°33'51""S 73°25'50""W",2,15,35,12,26,11,14,18,50,60,165,97,105,97,34,31,133,134,18,27,14,17,4,CPMC,negro,oscuro,0,42.86,137.11,109.68,10.53,51.85,35.05,31.96,14.43,8.48
6,COTARUSE,"14°33'51""S 73°25'50""W",2,16,37,12,27,12,15,20,52,61,180,98,105,98,35,31,133,135,19,29,14,18,5,CPMC,negro,oscuro,0,43.24,135.71,112.90,10.53,48.28,35.71,31.63,14.29,7.78
7,COTARUSE,"14°33'51""S 73°25'50""W",4,14,38,12,28,10,15,13,46,61,155,96,98,95,36,32,129,126,14,23,13,18,2.5,CPMC,negro,oscuro,0,36.84,134.38,112.50,10.08,56.52,37.50,33.33,13.54,8.39
8,COTARUSE,"14°33'51""S 73°25'50""W",4,14,37,11,27,11,16,14,45,61,180,98,99,96,37,32,135,127,15,23,14,18,3,CPMC,negro,oscuro,0,37.84,137.76,115.63,10.37,60.87,37.76,32.65,14.29,7.78
9,COTARUSE,"14°33'51""S 73°25'50""W",4,15,37,12,28,11,15,14,46,62,190,99,100,98,37,32,140,128,15,23,14,19,3,CPMC,ambarino,oscuro,0,40.54,141.41,115.63,10.00,60.87,37.37,32.32,14.14,7.37
10,COTARUSE,"14°33'51""S 73°25'50""W",6,16,38,13,29,12,17,15,47,63,220,107,109,98,38,33,143,129,17,24,15,19,4,CS,negro,oscuro,5,42.11,133.64,115.15,10.49,62.50,35.51,30.84,14.02,6.82
11,COTARUSE,"14°33'51""S 73°25'50""W",6,17,39,14,29,12,18,21,50,63,240,115,117,114,39,35,143,130,18,25,16,19,4,CPMC,negro,oscuro,4,43.59,124.35,111.43,11.19,64.00,33.91,30.43,13.91,6.67
12,COTARUSE,"14°33'51""S 73°25'50""W",6,17,47,15,37,10,12,25.5,60,77,301,104,100,97,42,38,152,153,22,32,16,19,5,CPMC,negro,oscuro,6,36.17,146.15,110.53,10.53,50.00,40.38,36.54,15.38,5.32
13,COTARUSE,"14°33'51""S 73°25'50""W",4,17,37,12.5,29,10,14,18,42,60,150,97,96.4,95.4,34.8,31,126,123,13,24.5,12,17,3.3,CS,ambarino,oscuro,0,45.95,129.90,112.26,9.52,48.98,35.88,31.96,12.37,8.00
14,COTARUSE,"14°29'46""S 73°15'24""W",8,17,41,16,32,10,13,30.5,53,70,252,104,115,105,40,38,157,156,18,32,15,18,6,CCO,negro,oscuro,3,41.46,150.96,105.26,9.55,46.88,38.46,36.54,14.42,5.95
15,COTARUSE,"14°29'46""S 73°15'24""W",4,17,40,15,33,11,14,15.5,50,69,208,106,109,104,37,33,141,134,17,30,15,19,3,CS,negro,oscuro,0,42.50,133.02,112.12,10.64,50.00,34.91,31.13,14.15,7.21
16,COTARUSE,"14°29'46""S 73°15'24""W",6,17,40,16,32,10,13,18,52,71,230,107,112,107,38,36,145,140,18,31,15,18,4,CPMC,negro,oscuro,0,42.50,135.51,105.56,10.34,48.39,35.51,33.64,14.02,6.52
17,COTARUSE,"14°29'46""S 73°15'24""W",8,18,41,16,30,14,17,24,63,73,295,116,118,116,45,35,165,171,19,16,16,21,6,CS,ambarino,claro,5,43.90,142.24,128.57,9.70,100.00,38.79,30.17,13.79,5.42
18,COTARUSE,"14°29'46""S 73°15'24""W",8,19,47,16,37,14,19,22,57,83,231,121,120,117,49,41,181,191,19,32,19,23,7,CPMC,ambarino,claro,6,40.43,149.59,119.51,10.50,59.38,40.50,33.88,15.70,8.23
19,COTARUSE,"14°29'46""S 73°15'24""W",4,16,39,14,29,9,12,23,47,61,191,95,99,96,36,35,129,127,17,25,13,18,3,CPMC,ambarino,oscuro,0,41.03,135.79,102.86,10.08,52.00,37.89,36.84,13.68,6.81
20,COTARUSE,"14°31'35""S 73°19'36""W",6,18,43,15,32,10,13,29,60,66,230,109,107,100,38,41.5,141,144,17,16,14,19,7,CPMC,ambarino,oscuro,6,41.86,129.36,91.57,9.93,87.50,34.86,38.07,12.84,6.09
21,COTARUSE,"14°31'35""S 73°19'36""W",6,15,42,15,34,10,13,38,65,77,308,108,103,100,39,41,154,158,16,29,15,16,6,CPMC,ambarino,claro,5,35.71,142.59,95.12,9.74,51.72,36.11,37.96,13.89,4.87
22,COTARUSE,"14°31'35""S 73°19'36""W",6,17,40,15,30,10,14,31.5,50,70,261,99,103,96,38,41,151,142,16,25,14.5,17,6,CPMC,ambarino,claro,5,42.50,152.53,92.68,9.60,58.00,38.38,41.41,14.65,5.56
23,COTARUSE,"14°31'35""S 73°19'36""W",6,18,45,13,33,11,13,0,57,72,315,103,111,105,35,37,151,153,16.5,29,14,16,4,CPMC,0,claro,4,40.00,146.60,94.59,9.27,48.28,33.98,35.92,13.59,4.44
24,COTARUSE,"14°31'35""S 73°19'36""W",4,17,39,15,31,10,13,30,53,68,270,101,102,100,37,41,150,148,16,26,14,16,3,CC,ambarino,oscuro,4,43.59,148.51,90.24,9.33,53.85,36.63,40.59,13.86,5.19
25,COTARUSE,"14°31'35""S 73°19'36""W",4,17,38,15,30,10,14,31,52,67,278,100,102,100,37,42,148,147,16,27,15,16,3,CPMC,oscuro,oscuro,4,44.74,148.00,88.10,10.14,55.56,37.00,42.00,15.00,5.40
26,OROPESA,"14°17'31""S 72°31'16""W",6,20,46,16,37,11.5,16,25,54,79,301,114.3,116.3,108,47.5,28,167,174,19,32.1,17,20,8,CS,negro,oscuro,9,43.48,146.11,169.64,10.18,52.96,41.56,24.50,14.87,5.65
27,OROPESA,"14°17'31""S 72°31'16""W",6,20,46,18,37,13,20,31.5,60,88,347,119,118,115,47,39,173,183,20,35,19,24,8.5,CCO,ambarino,claro,6,43.48,145.38,120.51,10.98,54.29,39.50,32.77,15.97,5.48
28,OROPESA,"14°18'34""S 72°31'38""W",4,19,47,16,39,13,19,26,61,84,382,115,118,114,44,45,168,163,17,34,17,21,4,CS,negro,oscuro,5,40.43,146.09,97.78,10.12,50.00,38.26,39.13,14.78,4.45
29,OROPESA,"14°18'34""S 72°31'38""W",6,17,39,16,31,10,13,32,53,68,290,103,105,101,37,42,151,148,18,27,17,14,7,CPMC,ambarino,oscuro,5,43.59,146.60,88.10,11.26,62.96,35.92,40.78,16.50,5.86
30,OROPESA,"14°18'34""S 72°31'38""W",4,17,38,15,31,10.5,14,33,52,67,283,101,102,101,36.5,41,150,149,19,26,16,14,3,CS,oscuro,oscuro,4,44.74,148.51,89.02,10.67,61.54,36.14,40.59,15.84,5.65
31,OROPESA,"14°18'34""S 72°31'38""W",2,18,44,15,36,11,15,29.5,67,69,287,106,108,101,39,39,154,148,17,29,15,22,6,CS,negro,oscuro,4,40.91,145.28,100.00,9.74,51.72,36.79,36.79,14.15,5.23
32,OROPESA,"14°15'34""S 72°33'59""W",6,18,42,16,34,12,16,35.5,61,78,315,111,113,106,45,40,155,165,20,30,15.5,21,6.5,CC,oscuro,claro,8,42.86,139.64,112.50,10.00,51.67,40.54,36.04,13.96,4.92
33,OROPESA,"14°15'34""S 72°33'59""W",6,19,45,16,35,9.5,16,39,61,83,390,119,117,115,48,39,170,180,18,37,16,19,6,CPMC,oscuro,oscuro,9,42.22,142.86,123.08,9.41,43.24,40.34,32.77,13.45,4.10
34,OROPESA,"14°18'15""S 72°30'28""W",9,20,48,17,37,14,18.5,29,60,87,351,125,127,120,46,44,163,179,20,33,17,24,4,CPMC,oscuro,oscuro,5,41.67,130.40,104.55,10.43,51.52,36.80,35.20,13.60,4.84
35,OROPESA,"14°18'15""S 72°30'28""W",4,18,44,15,36.5,14,18,17.5,61,87,382,119,127,12.3,47,40,172,168,18,38,18,23,4,CC,negro,oscuro,0,40.91,144.54,117.50,10.47,47.37,39.50,33.61,15.13,4.71
36,OROPESA,"14°18'15""S 72°30'28""W",4,19,45,17,32,15,16.5,28,60,78,344,116,128,121,42.5,43,164,160,18,35,18,27,5,CPMC,negro,oscuro,0,42.22,141.38,98.84,10.98,51.43,36.64,37.07,15.52,5.23
37,OROPESA,"14°18'15""S 72°30'28""W",4,18,39.9,15,33,13,17,16.5,59,72,242,106,109,107,37,38,143,138,18,30,15.5,21,8,CS,oscuro,oscuro,8,45.11,134.91,97.37,10.84,51.67,34.91,35.85,14.62,6.40
38,OROPESA,"14°18'40""S72°31'41""W",4,18,46,15,38,8,14,34.5,63,80,288,112,107,100,42,40,150,160,18,29,16,21,8,CC,ambarino,claro,0,39.13,133.93,105.00,10.67,55.17,37.50,35.71,14.29,5.56
39,OROPESA,"14°18'40""S72°31'41""W",6,17,40,13,34,12,17,38.5,64,74,287,109,106,101,37,47,148,168,21,32,15,22,7,CCO,negro,oscuro,12,42.50,135.78,78.72,10.14,46.88,33.94,43.12,13.76,5.23
40,OROPESA,"14°18'40""S72°31'41""W",8,20,44,16,34.5,11,16,24,62,77,382,109,110,108,44.5,40,167,158,24,35,17,24,4,CS,negro,oscuro,0,45.45,153.21,111.25,10.18,48.57,40.83,36.70,15.60,4.45
41,OROPESA,"14°18'40""S72°31'41""W",6,17,41,14,33,10,13,26,73,80,322,110,114,109,48,41,158,168,18,29,19,15,2,CC,ambarino,oscuro,7,41.46,143.64,117.07,12.03,65.52,43.64,37.27,17.27,5.90
42,OROPESA,"14°18'40""S72°31'41""W",4,16.5,40,15,33,10,13,29,61,78,210,101,105,93,40,38,148,151,15,28,20,14,8.5,CC,oscuro,oscuro,6,41.25,146.53,105.26,13.51,71.43,39.60,37.62,19.80,9.52
43,OROPESA,"14°16'6""S 72°33'17""W",6,17,43,16,33,13,16,23,50,82,276,124,135,125,38,39,154,146,18,40,16,19,5,CS,negro,oscuro,5,39.53,124.19,97.44,10.39,40.00,30.65,31.45,12.90,5.80
44,OROPESA,"14°15'42""S 72°33'49""W",6,17,46,14,36,13,17,24,60,81,382,120,119,114,47,37,165,170,17,32,17,21,6,CPMC,negro,oscuro,5,36.96,137.50,127.03,10.30,53.13,39.17,30.83,14.17,4.45
45,OROPESA,"14°15'42""S 72°33'49""W",6,17,45,16,35,13,15,18,61,80,372,101,105,108,44,37,148,153,18,31,17,19,5,CS,negro,oscuro,4,37.78,146.53,118.92,11.49,54.84,43.56,36.63,16.83,4.57
46,OROPESA,"14°15'42""S 72°33'49""W",6,17,46,14,35,13,17,24,77,81,382,120,119,114,46.5,37,165,170,17,32,17,21,6,CC,negro,oscuro,4,36.96,137.50,125.68,10.30,53.13,38.75,30.83,14.17,4.45
47,OROPESA,"14°17'31""S 72°31'16""W",8,17,40,14,29,13,17,21,51,63,260,115,117,114,39,35,142,130,18,25,16,18,4,CC,negro,oscuro,4,42.50,123.48,111.43,11.27,64.00,33.91,30.43,13.91,6.15
48,OROPESA,"14°17'31""S 72°31'16""W",8,17,37,13.5,30,11,13,18,42,61,281,99,95,96,35,38,126,123,17,30,12,17,3,CS,negro,oscuro,5,45.95,127.27,92.11,9.52,40.00,35.35,38.38,12.12,4.27
49,OROPESA,"14°15'31""S 72°33'44""W",8,16,41,13,33,10,13,21,50,79,280,105,110,108,42,39,148,146,19,31,17,17,3.5,CS,ambarino,oscuro,5,39.02,140.95,107.69,11.49,54.84,40.00,37.14,16.19,6.07
50,OROPESA,"14°16'1""S 72°33'26""W",6,17,45,15,33,14,18,30,66,80,320,120,122,117,46,40,170,186,15,36,17,20,5,CCO,negro,oscuro,6,37.78,141.67,115.00,10.00,47.22,38.33,33.33,14.17,5.31
51,OROPESA,"14°18'40""S 72°31'41""W",4,16,46,15,36.5,12,18.5,22,59,68,289,116,121,120,42,41,156,153,20,30,16,21,3,CS,negro,oscuro,0,34.78,134.48,102.44,10.26,53.33,36.21,35.34,13.79,5.54
52,OROPESA,"14°18'40""S 72°31'41""W",6,16,44,14,35,12,18,23,60,78,276,114,115,108,44,39,158,162,14,29,17,21,5.5,CPMC,negro,oscuro,9,36.36,138.60,112.82,10.76,58.62,38.60,34.21,14.91,6.16
53,OROPESA,"14°18'40""S 72°31'41""W",6,16,40,13,32,10,13,20,68,68,280,105,109,107,42,39,148,150,15,30,18,17,5,CPMC,ambarino,oscuro,6,40.00,140.95,107.69,12.16,60.00,40.00,37.14,17.14,6.43
54,OROPESA,"14°18'40""S 72°31'41""W",8,16,44,14,34,14,19,30.5,67,81,328,123,122,116,46,40,169,186,15,36,17,21,6,CPMC,negro,oscuro,10,36.36,137.40,115.00,10.06,47.22,37.40,32.52,13.82,5.18
55,OROPESA,"14°16'1""S 72°33'26""W",4,16,43,15,35.5,11,15.5,33,60,80,301,116,113,112,43,39,161,164,18,36,16,19,6,CPMC,negro,oscuro,0,37.21,138.79,110.26,9.94,44.44,37.07,33.62,13.79,5.32
56,OROPESA,"14°15'12""S 72°34'58""W",4,19.5,44.5,15,36,14,20,39.5,63,77,328,121,120,114,45,44,171,189,21,34,17,21,5,CPMC,negro,oscuro,0,43.82,141.32,102.27,9.94,50.00,37.19,36.36,14.05,5.18
57,OROPESA,"14°18'40""S 72°31'41""W",8,17,48,14,41,14.5,16,0,34.5,81,328,116,121,110,43.5,38,165,164,17,32,17.5,20,7.5,CPMC,negro,oscuro,12,35.42,142.24,114.47,10.61,54.69,37.50,32.76,15.09,5.34
58,OROPESA,"14°18'40""S 72°31'41""W",6,17,45,15,34,12,15,17,62,78,327,101,105,108,43,37,148,152,18,30,17,19,6,CS,negro,oscuro,5,37.78,146.53,116.22,11.49,56.67,42.57,36.63,16.83,5.20
59,SAN JERONIMO,"13°41'9""S 73°16'8""W",4,17,43,16,33,13,15,21,45,82,276,124,135,125,38,39,154,146,18,40,16,19,5,CCO,ambarino,claro,5,39.53,124.19,97.44,10.39,40.00,30.65,31.45,12.90,5.80
60,SAN JERONIMO,"13°41'9""S 73°16'8""W",6,21,44,18,36,11,15,23,53,81,328,120,124,121,46,40,168,169,29,46,18,20,7,CCO,ambarino,oscuro,7,47.73,140.00,115.00,10.71,39.13,38.33,33.33,15.00,5.49
61,SAN JERONIMO,"13°41'9""S 73°16'8""W",6,17,41,14,33,10,13,26,73,80,322,110,114,109,48,41,158,168,23,29,18,22,7,CPMC,ambarino,oscuro,5,41.46,143.64,117.07,11.39,62.07,43.64,37.27,16.36,5.59
62,SAN JERONIMO,"13°41'9""S 73°16'8""W",6,18,45,13,33,11,13,27,60,72,315,103,111,105,35,37,151,153,18,29,17,19,4,CPMC,ambarino,oscuro,4,40.00,146.60,94.59,11.26,58.62,33.98,35.92,16.50,5.40
63,SAN JERONIMO,"13°41'9""S 73°16'8""W",8,20,46,18,37,13,16,23,60,88,319,119,115,113,47,39,173,183,20,35,19,24,7,CPMC,negro,oscuro,6,43.48,145.38,120.51,10.98,54.29,39.50,32.77,15.97,5.96
64,SAN JERONIMO,"13°41'14""S 73°15'50""W",2,18,43,17,34,13,18,0,63,72,258,118,114,109,43,37,153,151,22,30,16,22,3,CS,0,oscuro,0,41.86,129.66,116.22,10.46,53.33,36.44,31.36,13.56,6.20
65,SAN JERONIMO,"13°41'14""S 73°15'50""W",4,19,42,16,34,14,17,14,59,69,210,116,115,108,41,36,151,150,21,29,16,21,4,CCO,negro,oscuro,4,45.24,130.17,113.89,10.60,55.17,35.34,31.03,13.79,7.62
66,SAN JERONIMO,"13°41'14""S 73°15'50""W",6,20,44,18,35,15,19,17,64,74,280,120,116,112,45,38,154,152,23,31,17,23,6,CPMC,negro,oscuro,8,45.45,128.33,118.42,11.04,54.84,37.50,31.67,14.17,6.07
67,SAN JERONIMO,"13°41'15""S 73°15'51""W",6,20,45.5,20,36,11,15,29,52,71,341,114.5,116.5,104.7,47,40,169,171,16.3,37,17,19,8,CPMC,ambarino,oscuro,6,43.96,147.60,117.50,10.06,45.95,41.05,34.93,14.85,4.99
68,SAN JERONIMO,"13°41'15""S 73°15'51""W",4,18,46,16,37,11.55,14,25,71,86,341,117.5,113,109.5,49.4,40,163,168,23.3,36,17,21,6.3,CC,negro,oscuro,6,39.13,138.72,123.50,10.43,47.22,42.04,34.04,14.47,4.99
69,SAN JERONIMO,"13°41'15""S 73°15'51""W",6,20,47,18,36,13,16,33,60,85,428,121,125,118,50,42,183,188,25,39,17,20,8.5,CPMC,ambarino,oscuro,6,42.55,151.24,119.05,9.29,43.59,41.32,34.71,14.05,3.97
70,SAN JERONIMO,"13°41'15""S 73°15'51""W",4,18,39,17,32,11,16,22,55,80,341,119,121,115,44,38,164,166,27,34,16,20.5,4,CCO,ambarino,oscuro,0,46.15,137.82,115.79,9.76,47.06,36.97,31.93,13.45,4.69
71,SAN JERONIMO,"13°41'11""S 73°15'46""W",6,19,44.6,16,36.5,13,15.3,28,62,82,314,113.8,117.9,109.5,51,35,169,178,20,37.8,17,20,6.5,CC,ambarino,claro,4,42.60,148.51,145.71,10.06,44.97,44.82,30.76,14.94,5.41
72,SAN JERONIMO,"13°41'11""S 73°15'46""W",4,17,47,15,40,12,18,19,61,82,315,121,117,113,44,37,159,157,20,33,16,21,5.5,CPMC,negro,oscuro,7,36.17,131.40,118.92,10.06,48.48,36.36,30.58,13.22,5.08
73,SAN JERONIMO,"13°46'12""S 73°16'2""W",2,16,37,14,30,10,13,18,48.5,67.5,198,103.5,105.8,103,36,33,139.3,138,15.5,30.2,17,14.7,3,CS,ambarino,oscuro,0,43.24,134.59,109.09,12.20,56.29,34.78,31.88,16.43,8.59
74,SAN JERONIMO,"13°46'12""S 73°16'2""W",8,18,38,16,31,12,16,19,63,70,320,107,108,106,39,34,142,140,17,32,18,15,6,CPMC,negro,oscuro,7,47.37,132.71,114.71,12.68,56.25,36.45,31.78,16.82,5.63
75,SAN JERONIMO,"13°41'5""S 73°15'45""W",8,17,46,15,40,13,16,31,69,87,382,116,112,110,49,41,170,177,18,35,17,22,4,CPMC,ambarino,claro,5,36.96,146.55,119.51,10.00,48.57,42.24,35.34,14.66,4.45
76,SAN JERONIMO,"13°41'5""S 73°15'45""W",8,17,46,16,39,13,16,24,59,80,322,114,113,110,43,42,160,170,17,35,13,21,5.5,CCO,negro,oscuro,4,36.96,140.35,102.38,8.13,37.14,37.72,36.84,11.40,4.04
77,SAN JERONIMO,"13°41'11""S 73°15'45""W",6,17,43,16,36,12,14,22,61,68,287,107,118,114,44,39,168,148,18,31,16,20,6,CPMC,negro,oscuro,6,39.53,157.01,112.82,9.52,51.61,41.12,36.45,14.95,5.57
78,SAN JERONIMO,"13°40'49""S 73°16'2""W",4,19,43,17,37,16,19,18,65,78,281,120,117,113,47,39,155,151,19,33,17,19,6,CS,0,oscuro,7,44.19,129.17,120.51,10.97,51.52,39.17,32.50,14.17,6.05
79,SAN JERONIMO,"13°40'55""S 73°16'42""W",4,16,42,14,34,13,17,25.5,59,65,274,111,117,118,42,37,149,146,17,33,16,19,7.5,CS,ambarino,oscuro,6,38.10,134.23,113.51,10.74,48.48,37.84,33.33,14.41,5.84
80,SAN JERONIMO,"13°40'55""S 73°16'42""W",4,19,46,17,38,14,17,23,61,83,380,114,116,114,45,46,167,165,18,33,17,20,3,CS,negro,oscuro,0,41.30,146.49,97.83,10.18,51.52,39.47,40.35,14.91,4.47
81,SAN JERONIMO,"13°41'20""S 73°16'45""W",6,20,44,17,35,13,16,27,63,81,382,109,108,107,45,41,170,167,18,35,16,21,6,CPMC,negro,oscuro,6,45.45,155.96,109.76,9.41,45.71,41.28,37.61,14.68,4.19
82,SAN JERONIMO,"13°41'20""S 73°16'45""W",6,19,46,18,36,12,14,24,61,83,390,119,117,116,46,39,170,180,18,37,16,19,7,CS,ambarino,oscuro,7,41.30,142.86,117.95,9.41,43.24,38.66,32.77,13.45,4.10
83,SAN JERONIMO,"13°41'20""S 73°16'45""W",6,18,47,19,34,13,15,25,62,82,391,117,116,115,45,38,178,180,18,37,16,14,6,CS,ambarino,oscuro,6,38.30,152.14,118.42,8.99,43.24,38.46,32.48,13.68,4.09
